#: :type=:list
#source	HGNC_name	dbTF	coTF	in_AGS
APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
ARGLU1	arginine and glutamate rich 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
ARL2BP	ADP ribosylation factor like GTPase 2 binding protein [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
ARRB1	arrestin beta 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
ASXL1	ASXL transcriptional regulator 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
ATF7IP	activating transcription factor 7 interacting protein [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
ATF7IP2	activating transcription factor 7 interacting protein 2 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
ATN1	atrophin 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
ATXN7L3	ataxin 7 like 3 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
BCL10	BCL10 immune signaling adaptor [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
BCL9	BCL9 transcription coactivator [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
BCL9L	BCL9 like [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
BCLAF1	BCL2 associated transcription factor 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
BCOR	BCL6 corepressor [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
BCORL1	BCL6 corepressor like 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
BIRC2	baculoviral IAP repeat containing 2 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
BRD4	bromodomain containing 4 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
BRD7	bromodomain containing 7 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
BRD8	bromodomain containing 8 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
BTAF1	B-TFIID TATA-box binding protein associated factor 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
BTG1	BTG anti-proliferation factor 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
BUD31	BUD31 homolog [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
C1D	C1D nuclear receptor corepressor [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
C1QBP	complement C1q binding protein [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
CALCOCO1	calcium binding and coiled-coil domain 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
CARM1	coactivator associated arginine methyltransferase 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
CBFA2T2	CBFA2/RUNX1 partner transcriptional co-repressor 2 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
CBFB	core-binding factor subunit beta [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
CBX4	chromobox 4 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
CCAR1	cell division cycle and apoptosis regulator 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
CCND1	cyclin D1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
CD274	CD274 molecule [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
CDYL	chromodomain Y like [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
CHD4	chromodomain helicase DNA binding protein 4 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
CIR1	corepressor interacting with RBPJ|CIR1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
CITED4	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
CNOT2	CCR4-NOT transcription complex subunit 2 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
CNOT6	CCR4-NOT transcription complex subunit 6 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
CNOT7	CCR4-NOT transcription complex subunit 7 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
COPS2	COP9 signalosome subunit 2 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
COPS5	COP9 signalosome subunit 5 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
CREBBP	CREB binding protein [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
CREG1	cellular repressor of E1A stimulated genes 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
CRTC1	CREB regulated transcription coactivator 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
CRTC2	CREB regulated transcription coactivator 2 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
CRTC3	CREB regulated transcription coactivator 3 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
CTBP1	C-terminal binding protein 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
